"Visitor ID";"Event position";"Page - with levels";"Visitors"
"0010240815F54EB43475DD1C1C8104651EC163D6";1;"home";1
"0010240815F54EB43475DD1C1C8104651EC163D6";1;"support::download::software::ivms4200-series";1
"0010240815F54EB43475DD1C1C8104651EC163D6";2;"home";1
"0010240815F54EB43475DD1C1C8104651EC163D6";2;"support::download::software::ivms4200-series";1
"0010240815F54EB43475DD1C1C8104651EC163D6";3;"home";1
"0010240815F54EB43475DD1C1C8104651EC163D6";3;"support::download::software::ivms4200-series";1
"0010240815F54EB43475DD1C1C8104651EC163D6";4;"home";1
"0010240815F54EB43475DD1C1C8104651EC163D6";4;"support::download::software::ivms4200-series";1
"0010240815F54EB43475DD1C1C8104651EC163D6";5;"search::search";1
"0010240815F54EB43475DD1C1C8104651EC163D6";5;"support::download::software::ivms4200-series";1
"0010240815F54EB43475DD1C1C8104651EC163D6";6;"search::search";1
"0010240815F54EB43475DD1C1C8104651EC163D6";7;"support::download::software::ivms4200-series";1
"0024C4E49ECC82D855F602A5E1F03A55A721AC40";1;"home";1
"0024C4E49ECC82D855F602A5E1F03A55A721AC40";2;"home";1
"003F28C7A26D9AF8596739E4C0DCEAA4FAAEB15E";1;"home";1
"003F28C7A26D9AF8596739E4C0DCEAA4FAAEB15E";2;"home";1
"003F28C7A26D9AF8596739E4C0DCEAA4FAAEB15E";3;"home";1
"003F28C7A26D9AF8596739E4C0DCEAA4FAAEB15E";4;"partners::channel-partners::find-a-distributor";1
"003F28C7A26D9AF8596739E4C0DCEAA4FAAEB15E";5;"partners::channel-partners::find-a-distributor";1
"004775AED481DB8709CC28FAB7D5D4733C7C40A4";1;"support::download::software::ivms4200-series";1
"00583BD40C97E0A67BFB93456A8821821908C265";1;"support::download::software::hik-connect";1
"00583BD40C97E0A67BFB93456A8821821908C265";2;"support::download::software::hik-connect";1
"005C2C97EE927C5A0BBE73A4F265496F51797B12";1;"home";1
"007E68A37EBD4650543D47CB8BA738087CD416F0";1;"home";1
"007E68A37EBD4650543D47CB8BA738087CD416F0";2;"home";1
"0085FC244EF5C878E1FB53689E8C70FCBF22FDF1";1;"products::ip-products::network-cameras::acusense-series|ds-2cd2046g2-iu-sl";1
"0085FC244EF5C878E1FB53689E8C70FCBF22FDF1";2;"products::ip-products::network-cameras::acusense-series|ds-2cd2046g2-iu-sl";1
"009D39CF1A897BE57C40225FCA9B8A3B9B7BBF4C";1;"home";1
"00B0EC4DB04D2DEC40DEBE7C4C55E2DC28F66538";1;"home";1
"00BA36AFD2ADEF348E64E68D7780548FC52C5EB7";1;"home";1
"00BA36AFD2ADEF348E64E68D7780548FC52C5EB7";2;"support::support";1
"00BA36AFD2ADEF348E64E68D7780548FC52C5EB7";3;"support::support";1
"00BA36AFD2ADEF348E64E68D7780548FC52C5EB7";4;"support::download::regional-support";1
"00BA36AFD2ADEF348E64E68D7780548FC52C5EB7";5;"support::download::regional-support";1
"00BA36AFD2ADEF348E64E68D7780548FC52C5EB7";6;"support::download::regional-support";1
"00C01973371A890C0FCFA53585D53A94A0E6FD72";1;"home";1
"00C01973371A890C0FCFA53585D53A94A0E6FD72";1;"support::download::firmware";1
"00C01973371A890C0FCFA53585D53A94A0E6FD72";2;"home";1
"00C01973371A890C0FCFA53585D53A94A0E6FD72";2;"support::tools::hitools";1
"00C01973371A890C0FCFA53585D53A94A0E6FD72";3;"support::download::firmware";1
"00C01973371A890C0FCFA53585D53A94A0E6FD72";3;"support::tools::hitools";1
"00C01973371A890C0FCFA53585D53A94A0E6FD72";4;"support::download::firmware";1
"00C01973371A890C0FCFA53585D53A94A0E6FD72";4;"support::tools::hitools::clea8b3e4ea7da90a9";1
"00C01973371A890C0FCFA53585D53A94A0E6FD72";5;"support::tools::hitools";1
"00C01973371A890C0FCFA53585D53A94A0E6FD72";6;"support::tools::hitools::cl2973002ecdcfb7d4";1
"00C01973371A890C0FCFA53585D53A94A0E6FD72";7;"support::tools::hitools";1
"00C01973371A890C0FCFA53585D53A94A0E6FD72";8;"support::tools::hitools::clf4633a00e385d6ea";1
"00C01973371A890C0FCFA53585D53A94A0E6FD72";9;"support::tools::hitools";1
"00C01973371A890C0FCFA53585D53A94A0E6FD72";10;"support::tools::hitools::cld66eaf7728b8e7c0";1
"00C01973371A890C0FCFA53585D53A94A0E6FD72";11;"support::tools::hitools";1
"00C01973371A890C0FCFA53585D53A94A0E6FD72";12;"support::download::software";1
"00C9DCC49364DC257D3BA53F6188FEF5DE37445E";1;"home";1
"00D3F6CD7754A298BE9AAC028085D087366A2206";1;"products::ip-products::ptz-cameras::pro-series|ds-2de7a432iw-aeb-t5-";1
"00D3F6CD7754A298BE9AAC028085D087366A2206";1;"products::transmission::network-switches::pro-series|ds-3e0310hp-e";1
"00DA979FFA25510C923213E87095FF985A7B397A";1;"support::download::firmware";1
"00DA979FFA25510C923213E87095FF985A7B397A";2;"support::download::firmware";1
"00E91D661DD94CB24BDB0E9DAF3935FF2B0C56D3";1;"support::download::firmware";1
"00FC40F0AF8EA4C3DC114BEF236FFEDFA13FBA4F";1;"support::download::software::hik-connect";1
"00FC40F0AF8EA4C3DC114BEF236FFEDFA13FBA4F";2;"support::download::software::hik-connect";1
"00FC40F0AF8EA4C3DC114BEF236FFEDFA13FBA4F";3;"support::download::software::hik-connect";1
"00FC40F0AF8EA4C3DC114BEF236FFEDFA13FBA4F";4;"support::download::software::hik-connect";1
"01047ACEEE26C4AB67D2FA517C0AA16733CBB2C3";1;"home";1
"01047ACEEE26C4AB67D2FA517C0AA16733CBB2C3";2;"home";1
"01047ACEEE26C4AB67D2FA517C0AA16733CBB2C3";3;"home";1
"011F2D373487938A6F61788FC8B74ADCEA655BC9";1;"support::download::software::ivms4200-series";1
"011F2D373487938A6F61788FC8B74ADCEA655BC9";2;"support::download::software::ivms4200-series";1
"011F2D373487938A6F61788FC8B74ADCEA655BC9";3;"support::download::software::ivms4200-series";1
"011F2D373487938A6F61788FC8B74ADCEA655BC9";4;"support::download::software::ivms4200-series";1
"011F2D373487938A6F61788FC8B74ADCEA655BC9";5;"support::download::software::ivms4200-series";1
"011F2D373487938A6F61788FC8B74ADCEA655BC9";6;"support::download::software::ivms4200-series";1
"012ACFAD228006D940DF0E1DF70CCDFB5EE9D834";1;"home";1
"012ACFAD228006D940DF0E1DF70CCDFB5EE9D834";2;"home";1
"012ACFAD228006D940DF0E1DF70CCDFB5EE9D834";3;"home";1
"012ACFAD228006D940DF0E1DF70CCDFB5EE9D834";4;"search::search";1
"012ACFAD228006D940DF0E1DF70CCDFB5EE9D834";5;"search::search";1
"012ACFAD228006D940DF0E1DF70CCDFB5EE9D834";6;"products::ip-products::network-cameras::ultra-series-smartip-|ds-2cd3626g2t-izs";1
"012ACFAD228006D940DF0E1DF70CCDFB5EE9D834";7;"products::ip-products::network-cameras::ultra-series-smartip-|ds-2cd3626g2t-izs";1
"012F6DDE4F731E27C5BC7D63DF3B4EBEC7CC7276";1;"home";1
"0136C36D85BCA4329D43B39C7FE139A0DCE14475";1;"home";1
"0136C36D85BCA4329D43B39C7FE139A0DCE14475";1;"partners::channel-partners::find-a-distributor";1
"0136C36D85BCA4329D43B39C7FE139A0DCE14475";2;"home";1
"0136C36D85BCA4329D43B39C7FE139A0DCE14475";3;"home";1
"0136C36D85BCA4329D43B39C7FE139A0DCE14475";4;"support::download::regional-support";1
"0136C36D85BCA4329D43B39C7FE139A0DCE14475";5;"support::download::regional-support";1
"0136C36D85BCA4329D43B39C7FE139A0DCE14475";6;"support::support";1
"0136C36D85BCA4329D43B39C7FE139A0DCE14475";7;"support::support";1
"0136C36D85BCA4329D43B39C7FE139A0DCE14475";8;"search::search";1
"0136C36D85BCA4329D43B39C7FE139A0DCE14475";9;"search::search";1
"0136C36D85BCA4329D43B39C7FE139A0DCE14475";10;"search::search";1
"0136C36D85BCA4329D43B39C7FE139A0DCE14475";11;"search::search";1
"0136C36D85BCA4329D43B39C7FE139A0DCE14475";12;"search::search";1
"0136C36D85BCA4329D43B39C7FE139A0DCE14475";13;"search::search";1
"0136C36D85BCA4329D43B39C7FE139A0DCE14475";14;"support::cybersecurity::the-cybersecurity-team";1
"013F3FD77454C7B7252040DEC4D184CB66303789";1;"support::tools::hitools::clea8b3e4ea7da90a9";1
